P(Pa),H(J/mol),T(K),S(J/mol/K),V,,,,,,,,
15693939.39,3222.768611,312.5500637,10.05880093,0,,,,,,,,
15945454.55,3222.768611,312.4966244,10.04429146,0,,,,,,,,
16196969.7,3222.768611,312.4431775,10.02978137,0,,,,,,,,
16448484.85,3222.768611,312.3897232,10.01527064,0,,,,,,,,
16700000,3222.768611,312.3362615,10.00075927,0,,,,,,,,
16951515.15,3222.768611,312.2827923,9.986247267,0,,,,,,,,
17203030.3,3222.768611,312.2293157,9.971734625,0,,,,,,,,
17454545.45,3222.768611,312.1758317,9.957221342,0,,,,,,,,
17706060.61,3222.768611,312.1223403,9.942707416,0,,,,,,,,
17957575.76,3222.768611,312.0688416,9.928192845,0,,,,,,,,
18209090.91,3222.768611,312.0153356,9.913677627,0,,,,,,,,
18460606.06,3222.768611,311.9618222,9.899161761,0,,,,,,,,
18712121.21,3222.768611,311.9083016,9.884645244,0,,,,,,,,
18963636.36,3222.768611,311.8547737,9.870128075,0,,,,,,,,
19215151.52,3222.768611,311.8012385,9.855610252,0,,,,,,,,
19466666.67,3222.768611,311.7476962,9.841091772,0,,,,,,,,
19718181.82,3222.768611,311.6941466,9.826572635,0,,,,,,,,
19969696.97,3222.768611,311.6405898,9.812052838,0,,,,,,,,
20221212.12,3222.768611,311.5870258,9.797532379,0,,,,,,,,
20472727.27,3222.768611,311.5334547,9.783011257,0,,,,,,,,
20724242.42,3222.768611,311.4798764,9.768489469,0,,,,,,,,
20975757.58,3222.768611,311.4262911,9.753967014,0,,,,,,,,
21227272.73,3222.768611,311.3726986,9.73944389,0,,,,,,,,
21478787.88,3222.768611,311.3190991,9.724920095,0,,,,,,,,
21730303.03,3222.768611,311.2654925,9.710395627,0,,,,,,,,
21981818.18,3222.768611,311.2118788,9.695870485,0,,,,,,,,
22233333.33,3222.768611,311.1582582,9.681344666,0,,,,,,,,
22484848.48,3222.768611,311.1046305,9.666818168,0,,,,,,,,
22736363.64,3222.768611,311.0509959,9.652290991,0,,,,,,,,
22987878.79,3222.768611,310.9973543,9.637763132,0,,,,,,,,
23239393.94,3222.768611,310.9437058,9.623234589,0,,,,,,,,
23490909.09,3222.768611,310.8900503,9.60870536,0,,,,,,,,
23742424.24,3222.768611,310.8363879,9.594175444,0,,,,,,,,
23993939.39,3222.768611,310.7827187,9.579644839,0,,,,,,,,
24245454.55,3222.768611,310.7290426,9.565113542,0,,,,,,,,
24496969.7,3222.768611,310.6753596,9.550581553,0,,,,,,,,
24748484.85,3222.768611,310.6216698,9.536048869,0,,,,,,,,
25000000,3222.768611,310.5679732,9.521515488,0,,,,,,,,
100000,3871.729354,324.4644185,12.98436877,0,,,,,,,,
351515.1515,3871.729354,324.4127261,12.97022598,0,,,,,,,,
603030.303,3871.729354,324.3610242,12.95608285,0,,,,,,,,
854545.4545,3871.729354,324.3093126,12.94193937,0,,,,,,,,
1106060.606,3871.729354,324.2575915,12.92779555,0,,,,,,,,
1357575.758,3871.729354,324.2058607,12.91365138,0,,,,,,,,
1609090.909,3871.729354,324.1541205,12.89950686,0,,,,,,,,
1860606.061,3871.729354,324.1023707,12.88536199,0,,,,,,,,
